Comparing channel(s) YUV

           Mean               Max    Max             
         Absolute     Mean    Pos.   Neg.            
 Frame     Dev.       Dev.    Dev.   Dev.  PSNR (dB) 
   545    8.2733    +0.8884  156    -185     18.9128
   546    8.3096    +1.4085  162    -181     18.9835
   547    7.6267    -3.1343  139    -191     18.5561
   548    8.0839    -0.4280  141    -181     19.0385
   549    7.9143    -1.6725  138    -182     18.8264
   550    8.4158    +0.5569  154    -167     19.2034
   551    8.2558    +0.0522  154    -177     18.9960
   552    9.0054    +3.6498  170    -139     18.6378
   553    8.9170    +3.0452  170    -136     18.8683
   554    8.4617    +1.0857  157    -163     19.2132
   555    0.0000    +0.0000    0      0     96.9160
   556    0.0000    +0.0000    0      0     96.9160
   557    0.0000    +0.0000    0      0     96.9160
   558    0.0000    +0.0000    0      0     96.9160
   559    0.0000    +0.0000    0      0     96.9160
   560    0.0000    +0.0000    0      0     96.9160
   561    0.0000    +0.0000    0      0     96.9160
   562    0.0000    +0.0000    0      0     96.9160
   563    9.0471    +2.2721  171    -168     18.8288
   564    8.8666    +1.4560  150    -166     19.0720
   565    9.4506    +3.4939  176    -142     18.5839
   566    9.5176    +3.6485  181    -151     18.4615
   567    9.6465    +3.9881  182    -142     18.3367
   568    9.7003    +4.1331  181    -141     18.2658
